Date,Ticker,Action,Shares,Price,Total
1990-02-15,Stock_10,SELL,100,108.3814959918143,10838.14959918143
1990-02-15,Stock_11,BUY,100,98.29244037674272,-9829.244037674272
1990-02-16,Stock_10,BUY,100,109.97111759384394,-10997.111759384394
1990-02-16,Stock_11,SELL,100,98.29244037674272,9829.244037674272
1990-02-23,Stock_01,SELL,100,110.18903083844098,11018.903083844098
1990-02-23,Stock_10,BUY,200,109.36697997239432,-21873.395994478862
1990-02-23,Stock_11,BUY,100,99.7810342892288,-9978.10342892288
1990-02-23,Stock_14,SELL,200,99.41175200675131,19882.350401350264
1990-02-27,Stock_01,BUY,100,109.2627284853774,-10926.27284853774
1990-02-27,Stock_10,SELL,100,112.72638127501456,11272.638127501456
1990-02-27,Stock_14,SELL,100,105.4901772221459,10549.01772221459
1990-02-27,Stock_15,BUY,100,107.88774881063902,-10788.774881063902
1990-03-05,Stock_01,BUY,100,107.27788138870038,-10727.788138870037
1990-03-05,Stock_06,BUY,100,101.40725486627396,-10140.725486627396
1990-03-05,Stock_08,SELL,100,106.98386254491238,10698.386254491239
1990-03-05,Stock_10,SELL,100,111.75587792160204,11175.587792160204
1990-03-07,Stock_10,BUY,100,111.60654901637774,-11160.654901637774
1990-03-07,Stock_11,SELL,100,105.51660193121002,10551.660193121003
1990-03-12,Stock_01,SELL,100,104.63135647833978,10463.135647833979
1990-03-12,Stock_10,BUY,100,108.62043091956316,-10862.043091956317
1990-03-15,Stock_10,SELL,100,107.72460503784778,10772.460503784778
1990-03-15,Stock_11,BUY,100,102.16721692577858,-10216.721692577858
1990-03-19,Stock_11,SELL,100,103.37125003594696,10337.125003594696
1990-03-19,Stock_14,BUY,100,108.33332679135674,-10833.332679135674
1990-03-22,Stock_10,SELL,100,108.39647661898182,10839.647661898181
1990-03-22,Stock_14,BUY,100,98.49660144316005,-9849.660144316005
1990-03-23,Stock_01,BUY,100,98.5444097464319,-9854.44097464319
1990-03-23,Stock_10,SELL,200,109.8895313276941,21977.90626553882
